Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Tom Brady (13604515),Tom Brady,13604515,CPT,17400,NE@NYJ 10/21/2019 08:15PM ET,NE,22.67
WR,Julian Edelman (13604516),Julian Edelman,13604516,CPT,16800,NE@NYJ 10/21/2019 08:15PM ET,NE,17.18
RB,Le'Veon Bell (13604517),Le'Veon Bell,13604517,CPT,13800,NE@NYJ 10/21/2019 08:15PM ET,NYJ,16.7
QB,Sam Darnold (13604518),Sam Darnold,13604518,CPT,13500,NE@NYJ 10/21/2019 08:15PM ET,NYJ,18.31
WR,Josh Gordon (13604519),Josh Gordon,13604519,CPT,12300,NE@NYJ 10/21/2019 08:15PM ET,NE,9.13
RB,Sony Michel (13604520),Sony Michel,13604520,CPT,11700,NE@NYJ 10/21/2019 08:15PM ET,NE,10.45
QB,Tom Brady (13604478),Tom Brady,13604478,FLEX,11600,NE@NYJ 10/21/2019 08:15PM ET,NE,22.67
WR,Julian Edelman (13604479),Julian Edelman,13604479,FLEX,11200,NE@NYJ 10/21/2019 08:15PM ET,NE,17.18
RB,James White (13604521),James White,13604521,CPT,11100,NE@NYJ 10/21/2019 08:15PM ET,NE,13.12
DST,Patriots  (13604522),Patriots ,13604522,CPT,10800,NE@NYJ 10/21/2019 08:15PM ET,NE,20.67
WR,Jamison Crowder (13604523),Jamison Crowder,13604523,CPT,10500,NE@NYJ 10/21/2019 08:15PM ET,NYJ,11.12
WR,Robby Anderson (13604524),Robby Anderson,13604524,CPT,10200,NE@NYJ 10/21/2019 08:15PM ET,NYJ,10.12
WR,Phillip Dorsett II (13604525),Phillip Dorsett II,13604525,CPT,9900,NE@NYJ 10/21/2019 08:15PM ET,NE,10.96
RB,Le'Veon Bell (13604480),Le'Veon Bell,13604480,FLEX,9200,NE@NYJ 10/21/2019 08:15PM ET,NYJ,16.7
QB,Sam Darnold (13604481),Sam Darnold,13604481,FLEX,9000,NE@NYJ 10/21/2019 08:15PM ET,NYJ,18.31
QB,Jarrett Stidham (13604526),Jarrett Stidham,13604526,CPT,9000,NE@NYJ 10/21/2019 08:15PM ET,NE,-0.22
QB,David Fales (13604527),David Fales,13604527,CPT,9000,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0
WR,Jakobi Meyers (13604528),Jakobi Meyers,13604528,CPT,8400,NE@NYJ 10/21/2019 08:15PM ET,NE,4
WR,Josh Gordon (13604482),Josh Gordon,13604482,FLEX,8200,NE@NYJ 10/21/2019 08:15PM ET,NE,9.13
